Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Min Volatility,"[{'GOOGL': 7.65, 'AMZN': 2.67, 'LLY': 7.71, 'AVGO': 2.35, 'PEP': 23.74, 'PWR': 4.54, 'CDNS': 1.6, 'KO': 11.17, 'TJX': 0.71, 'PANW': 2.2, 'ADP': 3.48, 'BSX': 7.04, 'PG': 14.83, 'LOW': 1.89, 'RSG': 3.6, 'WMT': 4.82}]",27056.75759975465,-0.09004988864374812,0.1294343395713415,1.30468139319141,3.002646024067111,0.2088705744787479
Max Sharpe Ratio,"[{'GOOGL': 6.36, 'AMZN': 4.72, 'LLY': 0.52, 'AVGO': 0.04, 'PEP': 3.52, 'META': 0.54, 'UBER': 2.67, 'PWR': 0.08, 'CDNS': 1.9, 'SNPS': 2.99, 'KO': 11.82, 'TJX': 2.05, 'PANW': 0.35, 'ADP': 3.84, 'V': 3.71, 'BSX': 1.77, 'MA': 1.8, 'SYK': 0.96, 'HD': 2.84, 'NVDA': 39.4, 'ETN': 0.35, 'ANET': 0.06, 'LOW': 3.26, 'MCO': 0.15, 'ASML': 3.73, 'RSG': 0.57, 'WMT': 1.43}]",71896.65066422209,-0.43976095198357945,0.33701037780672827,1.2344194342228654,2.2933451356367116,0.4560121598994156
Hierarchical Risk Parity,"[{'AAPL': 2.94, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.15, 'AVGO': 2.15, 'BSX': 3.98, 'CDNS': 2.0, 'CTAS': 2.7, 'ETN': 2.03, 'GOOGL': 3.88, 'HD': 2.41, 'KO': 5.11, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.43, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.05, 'PG': 4.84, 'PWR': 2.13, 'RSG': 4.89, 'SNPS': 1.76, 'SYK': 3.05, 'TJX': 3.57, 'UBER': 1.33, 'V': 2.61, 'WMT': 7.2}]",28754.24420184553,-0.15521909746955184,0.15098563319073136,1.2200209534515472,2.5977196188479734,0.22420563616284164
