Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Min Volatility,"[{'AMZN': 2.67, 'AVGO': 2.35, 'LOW': 1.88, 'KO': 11.19, 'BSX': 7.04, 'CDNS': 1.57, 'ADP': 3.48, 'PG': 14.86, 'PWR': 4.53, 'LLY': 7.7, 'GOOGL': 7.7, 'WMT': 4.79, 'PANW': 2.19, 'RSG': 3.63, 'TJX': 0.73, 'PEP': 23.69}]",27099.213417666382,-0.09032534077672322,0.12939723420136634,1.3074551509100836,3.0097316829435856,0.20918108037009486
Max Sharpe Ratio,"[{'AMZN': 4.43, 'AVGO': 0.1, 'LOW': 3.31, 'KO': 11.5, 'MA': 1.97, 'MCO': 0.29, 'HD': 2.83, 'ASML': 4.11, 'UBER': 2.76, 'BSX': 1.75, 'CDNS': 1.85, 'SNPS': 2.84, 'ADP': 3.94, 'META': 0.47, 'SYK': 0.87, 'NVDA': 40.47, 'PWR': 0.03, 'LLY': 0.53, 'ETN': 0.33, 'GOOGL': 6.35, 'V': 3.79, 'WMT': 1.31, 'PANW': 0.36, 'RSG': 0.57, 'TJX': 2.07, 'ANET': 0.06, 'PEP': 3.08}]",73298.73662620081,-0.44637376423477554,0.34165331655835984,1.2338177796864953,2.2826046026023206,0.46153793645856284
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.03, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.14, 'AVGO': 2.14, 'BSX': 3.98, 'CDNS': 2.0, 'CTAS': 2.7, 'ETN': 2.03, 'GOOGL': 3.88, 'HD': 2.41, 'KO': 5.11, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.43, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.05, 'PG': 4.84, 'PWR': 2.12, 'RSG': 4.88, 'SNPS': 1.75, 'SYK': 3.05, 'TJX': 3.57, 'UBER': 1.33, 'V': 2.61, 'WMT': 7.2}]",28809.27861009811,-0.15522400849283188,0.1509719188511867,1.2226721399094826,2.6033703221543156,0.22458915908802118
