Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Min Volatility,"[{'BSX': 7.02, 'GOOGL': 7.67, 'RSG': 3.56, 'PANW': 2.2, 'AVGO': 2.36, 'PEP': 23.77, 'TJX': 0.72, 'CDNS': 1.62, 'KO': 11.18, 'LLY': 7.65, 'ADP': 3.49, 'LOW': 1.91, 'WMT': 4.85, 'AMZN': 2.67, 'PG': 14.84, 'PWR': 4.5}]",26904.803231804017,-0.09055798521729602,0.12940554288138845,1.2960773052718233,2.9813483456319028,0.20771958730494733
Max Sharpe Ratio,"[{'ASML': 2.63, 'SYK': 1.35, 'NVDA': 36.68, 'SNPS': 3.26, 'BSX': 1.77, 'ETN': 0.35, 'GOOGL': 5.84, 'RSG': 0.62, 'PANW': 0.24, 'AVGO': 0.04, 'PEP': 4.88, 'UBER': 2.38, 'TJX': 1.92, 'CDNS': 1.98, 'KO': 13.19, 'LLY': 0.43, 'ADP': 3.51, 'LOW': 3.1, 'META': 0.6, 'MA': 1.45, 'MCO': 0.04, 'HD': 2.93, 'ANET': 0.04, 'WMT': 1.72, 'CTAS': 0.01, 'AMZN': 5.13, 'PG': 1.04, 'PWR': 0.05, 'V': 3.4}]",68122.13673905145,-0.4215458568981081,0.3242573890495388,1.2360841697709337,2.3305155241568523,0.4408094255353898
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.15, 'AVGO': 2.14, 'BSX': 3.98, 'CDNS': 2.0, 'CTAS': 2.7, 'ETN': 2.03, 'GOOGL': 3.88, 'HD': 2.41, 'KO': 5.11, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.43, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.05, 'PG': 4.84, 'PWR': 2.12, 'RSG': 4.88, 'SNPS': 1.75, 'SYK': 3.05, 'TJX': 3.57, 'UBER': 1.33, 'V': 2.61, 'WMT': 7.2}]",28695.817512872614,-0.1552551571549227,0.15099031821749273,1.217243464367816,2.5918974435865847,0.22379197803305984
