Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
Max Sharpe Ratio,"[{'LLY': 6.29, 'NVDA': 25.0, 'PEP': 21.55, 'PWR': 12.31, 'KO': 20.7, 'AVGO': 1.2, 'PG': 12.94}]",58974.53220189495,-0.22742471147630428,0.2401216595249515,1.4750030779758618,3.0499004554048113
Min Volatility,"[{'LLY': 7.63, 'WMT': 4.69, 'CDNS': 1.5, 'GOOGL': 7.96, 'PANW': 2.2, 'BSX': 7.2, 'PEP': 23.43, 'PWR': 4.45, 'RSG': 3.85, 'TJX': 0.75, 'AMZN': 2.59, 'KO': 11.22, 'ADP': 3.54, 'AVGO': 2.25, 'LOW': 1.83, 'PG': 14.92}]",26614.945778159738,-0.091021927874461,0.13038512244921277,1.2962446542035455,3.0195827978564913
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.14, 'AVGO': 2.14, 'BSX': 4.0, 'CDNS': 2.0, 'CTAS': 2.73, 'ETN': 2.02, 'GOOGL': 3.9, 'HD': 2.4, 'KO': 5.13, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.42, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.03, 'PG': 4.86, 'PWR': 2.12, 'RSG': 4.91, 'SNPS': 1.75, 'SYK': 3.05, 'TJX': 3.56, 'UBER': 1.33, 'V': 2.6, 'WMT': 7.18}]",28272.56589601775,-0.15515152276304964,0.1522064391084474,1.2123951717587054,2.603313385859165
