Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Min Volatility,"[{'AVGO': 2.37, 'AMZN': 2.67, 'LOW': 1.87, 'PG': 14.87, 'TJX': 0.73, 'PEP': 23.71, 'RSG': 3.63, 'CDNS': 1.58, 'ADP': 3.47, 'LLY': 7.69, 'PANW': 2.2, 'BSX': 7.03, 'WMT': 4.79, 'PWR': 4.53, 'KO': 11.18, 'GOOGL': 7.68}]",27104.99598474226,-0.09028612452709081,0.1294046691707899,1.3077223338252744,3.006666115801446,0.20922537597591293
Max Sharpe Ratio,"[{'META': 0.48, 'MA': 1.82, 'AVGO': 0.08, 'AMZN': 4.52, 'LOW': 3.26, 'ANET': 0.08, 'SYK': 0.97, 'TJX': 2.07, 'PEP': 3.54, 'RSG': 0.59, 'CDNS': 1.86, 'ADP': 3.84, 'MCO': 0.25, 'LLY': 0.51, 'ETN': 0.31, 'PANW': 0.33, 'BSX': 1.78, 'SNPS': 2.96, 'HD': 2.87, 'WMT': 1.41, 'ASML': 3.75, 'UBER': 2.7, 'V': 3.75, 'PWR': 0.1, 'KO': 11.81, 'NVDA': 39.66, 'GOOGL': 6.22}]",72257.76996952099,-0.44070096207846765,0.33773497568673394,1.2355427652829452,2.2949475795408083,0.45728600579275547
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.03, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.15, 'AVGO': 2.14, 'BSX': 3.98, 'CDNS': 2.0, 'CTAS': 2.7, 'ETN': 2.03, 'GOOGL': 3.88, 'HD': 2.41, 'KO': 5.11, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.43, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.05, 'PG': 4.84, 'PWR': 2.12, 'RSG': 4.89, 'SNPS': 1.76, 'SYK': 3.05, 'TJX': 3.57, 'UBER': 1.33, 'V': 2.61, 'WMT': 7.2}]",28793.11245295808,-0.1552200377254743,0.1509665390973684,1.2219665977603118,2.6017803103267068,0.22447606815646037
