Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Max Sharpe Ratio,"[{'NVDA': 25.0, 'PEP': 21.55, 'LLY': 6.29, 'PWR': 12.31, 'KO': 20.7, 'AVGO': 1.2, 'PG': 12.94}]",58974.68693488481,-0.2274246622663383,0.24012071270761068,1.475001544385684,3.0499088255940876,0.0
Min Volatility,"[{'RSG': 3.85, 'TJX': 0.75, 'AMZN': 2.59, 'PEP': 23.43, 'CDNS': 1.5, 'PANW': 2.2, 'ADP': 3.54, 'LLY': 7.63, 'LOW': 1.83, 'PWR': 4.45, 'BSX': 7.2, 'KO': 11.22, 'AVGO': 2.25, 'WMT': 4.69, 'PG': 14.92, 'GOOGL': 7.96}]",26614.83096265647,-0.09102248419738374,0.13038543743370398,1.2962508504008508,3.0195893094014266,0.0
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.14, 'AVGO': 2.14, 'BSX': 4.0, 'CDNS': 2.0, 'CTAS': 2.74, 'ETN': 2.02, 'GOOGL': 3.9, 'HD': 2.4, 'KO': 5.13, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.42, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.03, 'PG': 4.86, 'PWR': 2.12, 'RSG': 4.91, 'SNPS': 1.75, 'SYK': 3.05, 'TJX': 3.56, 'UBER': 1.33, 'V': 2.6, 'WMT': 7.18}]",28277.025867214525,-0.15508846326528958,0.1521907542289214,1.2126924635790208,2.6028796968024976,0.0
