Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
Max Sharpe Ratio,"[{'PG': 12.940999999999999, 'PEP': 21.554000000000002, 'LLY': 6.285, 'NVDA': 25.0, 'AVGO': 1.201, 'PWR': 12.315, 'KO': 20.703}]",58974.52195366095,-0.22742472382084902,0.24012170511174935,1.4750026891048489,3.0499025619557236
Min Volatility,"[{'PG': 14.921000000000001, 'LOW': 1.8339999999999999, 'PEP': 23.433, 'LLY': 7.627000000000001, 'RSG': 3.85, 'AMZN': 2.59, 'PANW': 2.196, 'TJX': 0.75, 'ADP': 3.535, 'BSX': 7.199, 'WMT': 4.693, 'AVGO': 2.246, 'CDNS': 1.503, 'PWR': 4.445, 'GOOGL': 7.959, 'KO': 11.219999999999999}]",26614.94552555594,-0.09102197372326014,0.13038515799380967,1.2962443200336122,3.019583153735945
Hierarchical Risk Parity,"[{'AAPL': 2.928, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.184, 'ASML': 1.143, 'AVGO': 2.1420000000000003, 'BSX': 4.0009999999999994, 'CDNS': 1.999, 'CTAS': 2.7289999999999996, 'ETN': 2.024, 'GOOGL': 3.897, 'HD': 2.402, 'KO': 5.126, 'LIN': 3.032, 'LLY': 3.907, 'LOW': 2.936, 'MA': 2.098, 'MCO': 2.424, 'META': 1.727, 'NVDA': 0.721, 'PANW': 2.268, 'PEP': 12.027000000000001, 'PG': 4.857, 'PWR': 2.121, 'RSG': 4.906, 'SNPS': 1.7530000000000001, 'SYK': 3.049, 'TJX': 3.558, 'UBER': 1.3299999999999998, 'V': 2.604, 'WMT': 7.185}]",28272.56613205636,-0.15515153442429488,0.15220644352678725,1.2123951521972418,2.603313975238922
