Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Min Volatility,"[{'RSG': 3.61, 'AMZN': 2.68, 'LLY': 7.7, 'KO': 11.19, 'LOW': 1.89, 'PEP': 23.73, 'AVGO': 2.37, 'TJX': 0.73, 'PG': 14.82, 'PANW': 2.19, 'GOOGL': 7.66, 'ADP': 3.48, 'CDNS': 1.58, 'BSX': 7.04, 'WMT': 4.8, 'PWR': 4.53}]",27095.579992841984,-0.09018637292628413,0.12941434322583278,1.3070871469954553,3.0075047824149874,0.2091558246673444
Max Sharpe Ratio,"[{'RSG': 0.57, 'AMZN': 4.38, 'LLY': 0.54, 'KO': 11.57, 'LOW': 3.31, 'META': 0.47, 'HD': 2.83, 'PEP': 3.1, 'NVDA': 40.53, 'ANET': 0.06, 'AVGO': 0.11, 'TJX': 2.07, 'ETN': 0.33, 'PANW': 0.36, 'UBER': 2.75, 'GOOGL': 6.36, 'ADP': 3.94, 'CDNS': 1.85, 'ASML': 4.11, 'MA': 1.97, 'BSX': 1.74, 'V': 3.78, 'WMT': 1.31, 'SNPS': 2.82, 'SYK': 0.86, 'MCO': 0.28, 'PWR': 0.01}]",73421.9151324244,-0.4466191780565267,0.3418229079640042,1.2344498374263073,2.283963560559342,0.46196323316475263
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.03, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.15, 'AVGO': 2.14, 'BSX': 3.98, 'CDNS': 2.0, 'CTAS': 2.7, 'ETN': 2.03, 'GOOGL': 3.88, 'HD': 2.41, 'KO': 5.11, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.43, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.05, 'PG': 4.83, 'PWR': 2.12, 'RSG': 4.89, 'SNPS': 1.76, 'SYK': 3.05, 'TJX': 3.57, 'UBER': 1.33, 'V': 2.61, 'WMT': 7.2}]",28783.6726196477,-0.15521929446593166,0.15097444749768565,1.2214812466654208,2.600609648767324,0.2244124563440962
