Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Max Sharpe Ratio,"[{'AVGO': 25.0, 'KO': 4.79, 'PWR': 25.0, 'PEP': 18.54, 'PG': 16.19, 'LLY': 9.26, 'RSG': 1.22}]",54042.485595526785,-0.1762333841423632,0.1957714890981305,1.6682249387204962,2.971052154662898,0.366590880403949
Min Volatility,"[{'LOW': 1.9, 'GOOGL': 7.96, 'CDNS': 1.51, 'BSX': 7.22, 'AVGO': 2.25, 'ADP': 3.58, 'KO': 11.25, 'TJX': 0.8, 'PANW': 2.21, 'PWR': 4.43, 'AMZN': 2.57, 'PEP': 23.22, 'PG': 14.87, 'WMT': 4.71, 'LLY': 7.62, 'RSG': 3.92}]",26645.76406044943,-0.09117887405107367,0.13042077050473236,1.2977603545860295,3.020510551680356,0.20925490537560465
Hierarchical Risk Parity,"[{'AAPL': 3.22, 'ADP': 5.96, 'AMZN': 2.04, 'ANET': 1.2, 'ASML': 1.19, 'AVGO': 2.12, 'BSX': 3.95, 'CDNS': 2.19, 'CTAS': 2.85, 'ETN': 2.56, 'GOOGL': 2.77, 'HD': 4.11, 'KO': 5.34, 'LIN': 3.16, 'LLY': 3.87, 'LOW': 3.22, 'MA': 2.12, 'MCO': 2.52, 'META': 1.71, 'PANW': 2.25, 'PEP': 10.34, 'PG': 5.07, 'PWR': 1.62, 'RSG': 5.11, 'SNPS': 1.82, 'SYK': 3.01, 'TJX': 3.6, 'UBER': 1.32, 'V': 2.63, 'WMT': 7.11}]",27207.418082605927,-0.15763983724175432,0.15122566751189134,1.1666591305209484,2.4739647622062844,0.21642880577187318
