Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio,Annualized Return
Max Sharpe Ratio,"[{'PG': 12.94, 'LLY': 6.29, 'NVDA': 25.0, 'PWR': 12.31, 'KO': 20.7, 'AVGO': 1.2, 'PEP': 21.55}]",58974.688477881835,-0.22742468627740597,0.24012071730388362,1.47500154566311,3.0499099805626764,0.394178429168963
Min Volatility,"[{'PG': 14.92, 'LLY': 7.63, 'LOW': 1.83, 'TJX': 0.75, 'ADP': 3.54, 'CDNS': 1.5, 'BSX': 7.2, 'PWR': 4.45, 'KO': 11.22, 'AVGO': 2.25, 'PANW': 2.2, 'AMZN': 2.59, 'PEP': 23.43, 'RSG': 3.85, 'WMT': 4.69, 'GOOGL': 7.96}]",26614.831780604225,-0.09102247497557496,0.13038543167369165,1.296250952369287,3.0195872264046786,0.2090122399821034
Hierarchical Risk Parity,"[{'AAPL': 2.93, 'ADP': 6.02, 'AMZN': 1.9, 'ANET': 1.18, 'ASML': 1.14, 'AVGO': 2.14, 'BSX': 4.0, 'CDNS': 2.0, 'CTAS': 2.74, 'ETN': 2.02, 'GOOGL': 3.9, 'HD': 2.4, 'KO': 5.13, 'LIN': 3.03, 'LLY': 3.91, 'LOW': 2.94, 'MA': 2.1, 'MCO': 2.42, 'META': 1.73, 'NVDA': 0.72, 'PANW': 2.27, 'PEP': 12.03, 'PG': 4.86, 'PWR': 2.12, 'RSG': 4.91, 'SNPS': 1.75, 'SYK': 3.05, 'TJX': 3.56, 'UBER': 1.33, 'V': 2.6, 'WMT': 7.18}]",28277.026006445038,-0.15508846123590758,0.15219075905186577,1.2126924375594712,2.6028782057578588,0.22456058256863326
