Portfolio Type,Stocks,Final Value,Maximum Drawdown,Volatility,Sharpe Ratio,Sortino Ratio
Max Sharpe Ratio,['NVDA (100.00%)'],142275.803076037,-0.6285040878178929,0.5146201990513415,1.2416429972424072,2.3063288365688215
Min Volatility,"['BSX (6.89%)', 'CDNS (1.73%)', 'LOW (2.10%)', 'RSG (3.64%)', 'PWR (4.42%)', 'LLY (7.83%)', 'WMT (4.85%)', 'PG (15.43%)', 'AVGO (2.23%)', 'ADP (3.26%)', 'TJX (0.47%)', 'PEP (23.36%)', 'PANW (2.05%)', 'KO (11.26%)', 'GOOGL (7.75%)', 'AMZN (2.73%)']",24842.62057739398,-0.10260013411260435,0.13094331560232514,1.182640618895708,2.713334885161616
